 SPIRAL: LC3f1921 - inner=1123, iron=8423, outer=1921 - rep 3                 DATE: 09/12/2006     TIME: 15:19:24.0

 INPUT SUMMARY:
 1        0    1    2
  37181  1 91  3  1
        .00      1.00       .00      2.00      1.00  .01  .01
   1123.0  5615.0  1921.0 11526.0  8423.0      .0      .0      .0      .0


 SUMMARY OF TOTAL MAGNETIC INDUCTION   (R IN CYCLOTRON UNITS, B IN GAUSS)

     R       .0 DEG    2.0 DEG    4.0 DEG    6.0 DEG    8.0 DEG   10.0 DEG   12.0 DEG   14.0 DEG   16.0 DEG   18.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.388      -.389      -.389      -.390      -.391      -.392      -.393      -.394      -.395      -.396
    2.00      -.296      -.298      -.299      -.301      -.303      -.305      -.307      -.309      -.311      -.314
    3.00      -.212      -.214      -.217      -.220      -.223      -.227      -.230      -.234      -.237      -.241
    4.00      -.135      -.139      -.143      -.147      -.152      -.156      -.161      -.166      -.171      -.176
    5.00      -.065      -.070      -.076      -.082      -.088      -.094      -.100      -.106      -.113      -.119
    6.00      -.001      -.008      -.016      -.023      -.030      -.038      -.045      -.053      -.061      -.068
    7.00       .056       .048       .039       .030       .021       .012       .003      -.006      -.014      -.023
    8.00       .108       .098       .087       .077       .067       .056       .046       .036       .027       .017
    9.00       .155       .143       .131       .119       .107       .096       .085       .074       .063       .052
   10.00       .197       .183       .169       .156       .143       .131       .119       .107       .095       .083
   11.00       .234       .219       .204       .189       .175       .162       .149       .136       .123       .111
   12.00       .267       .250       .234       .219       .204       .189       .175       .161       .148       .135
   13.00       .296       .278       .261       .245       .229       .213       .198       .184       .170       .156
   14.00       .322       .303       .285       .267       .251       .234       .219       .203       .189       .175
   15.00       .345       .325       .306       .287       .270       .253       .236       .221       .205       .191
   16.00       .364       .344       .324       .305       .286       .269       .252       .236       .220       .205
   17.00       .381       .360       .339       .320       .301       .283       .265       .249       .233       .217
   18.00       .396       .374       .353       .333       .313       .295       .277       .260       .244       .228
   19.00       .409       .386       .364       .344       .324       .305       .287       .269       .253       .237
   20.00       .420       .396       .374       .353       .333       .313       .295       .278       .261       .245
   21.00       .428       .405       .382       .361       .340       .321       .302       .284       .268       .251
   22.00       .436       .412       .389       .367       .346       .327       .308       .290       .273       .257
   23.00       .442       .417       .394       .372       .351       .332       .313       .295       .278       .262
   24.00       .446       .422       .399       .376       .355       .335       .317       .299       .281       .265
   25.00       .450       .425       .402       .380       .358       .338       .319       .301       .284       .268
   26.00       .452       .427       .404       .382       .361       .341       .322       .304       .287       .270
   27.00       .454       .429       .405       .383       .362       .342       .323       .305       .288       .272
   28.00       .454       .429       .406       .384       .363       .343       .324       .306       .289       .273
   29.00       .454       .429       .406       .384       .363       .343       .324       .307       .290       .274
   30.00       .453       .429       .405       .383       .363       .343       .324       .307       .290       .274
   31.00       .452       .427       .404       .382       .362       .342       .324       .306       .290       .274
   32.00       .450       .426       .403       .381       .361       .341       .323       .305       .289       .273
   33.00       .448       .424       .401       .379       .359       .340       .321       .304       .288       .272
   34.00       .445       .421       .398       .377       .357       .338       .320       .303       .287       .271
   35.00       .442       .418       .396       .375       .355       .336       .318       .301       .285       .270
   36.00       .438       .415       .393       .372       .352       .334       .316       .299       .283       .268

     R     20.0 DEG   22.0 DEG   24.0 DEG   26.0 DEG   28.0 DEG   30.0 DEG   32.0 DEG   34.0 DEG   36.0 DEG   38.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.397      -.399      -.400      -.402      -.404      -.406      -.407      -.409      -.411      -.413
    2.00      -.317      -.320      -.323      -.326      -.329      -.332      -.336      -.339      -.343      -.346
    3.00      -.245      -.249      -.254      -.258      -.263      -.267      -.272      -.277      -.282      -.287
    4.00      -.182      -.187      -.193      -.198      -.204      -.210      -.216      -.222      -.228      -.234
    5.00      -.126      -.132      -.139      -.145      -.152      -.159      -.166      -.173      -.180      -.187
    6.00      -.076      -.083      -.091      -.099      -.106      -.114      -.122      -.130      -.137      -.145
    7.00      -.032      -.040      -.049      -.057      -.066      -.074      -.083      -.091      -.100      -.108
    8.00       .007      -.002      -.012      -.021      -.030      -.039      -.048      -.057      -.066      -.075
    9.00       .042       .031       .021       .011       .001      -.008      -.018      -.027      -.036      -.045
   10.00       .072       .061       .050       .040       .029       .019       .009       .000      -.010      -.019
   11.00       .099       .087       .076       .065       .054       .043       .033       .023       .013       .004
   12.00       .122       .110       .098       .087       .076       .065       .054       .044       .034       .025
   13.00       .143       .130       .118       .106       .095       .084       .073       .062       .052       .043
   14.00       .161       .148       .135       .123       .111       .100       .089       .079       .069       .059
   15.00       .177       .163       .151       .138       .126       .115       .104       .093       .083       .073
   16.00       .191       .177       .164       .151       .139       .127       .116       .106       .095       .086
   17.00       .203       .189       .175       .163       .150       .139       .127       .117       .107       .097
   18.00       .213       .199       .185       .172       .160       .148       .137       .126       .116       .107
   19.00       .222       .208       .194       .181       .169       .157       .146       .135       .125       .115
   20.00       .230       .215       .201       .188       .176       .164       .153       .142       .132       .123
   21.00       .236       .222       .208       .195       .182       .170       .159       .149       .139       .129
   22.00       .242       .227       .213       .200       .188       .176       .165       .154       .144       .135
   23.00       .246       .232       .218       .205       .192       .180       .169       .159       .149       .140
   24.00       .250       .235       .221       .208       .196       .184       .173       .163       .153       .144
   25.00       .253       .238       .224       .211       .199       .187       .176       .166       .157       .147
   26.00       .255       .241       .227       .214       .202       .190       .179       .169       .159       .150
   27.00       .257       .242       .229       .216       .204       .192       .181       .171       .162       .153
   28.00       .258       .244       .230       .217       .205       .194       .183       .173       .164       .155
   29.00       .259       .244       .231       .218       .206       .195       .184       .175       .165       .157
   30.00       .259       .245       .232       .219       .207       .196       .185       .176       .166       .158
   31.00       .259       .245       .232       .219       .207       .196       .186       .176       .167       .159
   32.00       .259       .245       .232       .219       .208       .197       .186       .177       .168       .160
   33.00       .258       .244       .231       .219       .207       .197       .186       .177       .168       .160
   34.00       .257       .243       .230       .218       .207       .196       .186       .177       .168       .160
   35.00       .256       .242       .230       .218       .206       .196       .186       .177       .168       .160
   36.00       .254       .241       .229       .217       .206       .195       .185       .176       .168       .160

     R     40.0 DEG   42.0 DEG   44.0 DEG   46.0 DEG   48.0 DEG   50.0 DEG   52.0 DEG   54.0 DEG   56.0 DEG   58.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.416      -.418      -.420      -.422      -.425      -.427      -.430      -.433      -.435      -.438
    2.00      -.350      -.354      -.358      -.363      -.367      -.371      -.376      -.380      -.385      -.390
    3.00      -.292      -.298      -.303      -.309      -.314      -.320      -.326      -.332      -.338      -.344
    4.00      -.240      -.247      -.253      -.260      -.267      -.273      -.280      -.287      -.294      -.302
    5.00      -.194      -.201      -.209      -.216      -.223      -.231      -.238      -.246      -.254      -.262
    6.00      -.153      -.161      -.169      -.176      -.184      -.192      -.200      -.208      -.216      -.225
    7.00      -.116      -.124      -.133      -.141      -.149      -.157      -.166      -.174      -.182      -.190
    8.00      -.083      -.092      -.100      -.109      -.117      -.126      -.134      -.142      -.151      -.159
    9.00      -.054      -.063      -.072      -.080      -.089      -.097      -.105      -.114      -.122      -.130
   10.00      -.028      -.037      -.046      -.055      -.063      -.071      -.080      -.088      -.096      -.103
   11.00      -.005      -.014      -.023      -.032      -.040      -.048      -.056      -.064      -.072      -.079
   12.00       .015       .006      -.003      -.011      -.019      -.027      -.035      -.043      -.050      -.057
   13.00       .033       .024       .016       .007      -.001      -.009      -.016      -.023      -.030      -.037
   14.00       .050       .041       .032       .024       .016       .008       .001      -.006      -.013      -.019
   15.00       .064       .055       .046       .038       .031       .023       .016       .010       .003      -.003
   16.00       .076       .068       .059       .051       .044       .037       .030       .024       .018       .012
   17.00       .088       .079       .071       .063       .055       .049       .042       .036       .030       .025
   18.00       .097       .089       .081       .073       .066       .059       .053       .047       .042       .037
