 -----------------------------------------------------------------------------------------------------------------
 : JBACCEL : v.052107              PARAMETER SET: D45wlc0  -  User Guide Example                 DATE:04/26/2019 :
 : ORIC ACCELERATION PROGRAM                                                                     TIME:10:02:01.0 :
 -----------------------------------------------------------------------------------------------------------------

   2H   1+    ENERGY=  45.00    MASS=   1875.58    INJECTION ENERGY=    .000                              04/26/19
                                                                                                          10:01:39
 EXTRACTION RADIUS= 31.140   FREQUENCY=13.04000 MHZ   DEE VOLTAGE= 60.0 KV   PHI0= 30.00 DEG   HARMONIC=1

 ORBIT   RADIUS      BETA-R    ENERGY     PHASE    PERIOD    R-CEN   THET-CEN    AVRAD    DAVRAD    DRAD   RAD/rtE
    0     1.670   .2154E-02      .140    11.657    .98531     .084    135.43     1.851     .0000    .000    4.4633
    1     2.275   .2170E-02      .253    19.805    .98392     .090    148.15     2.429     .5784    .605    4.5247
    2     2.769   .2177E-02      .370    12.477    .98473     .095    155.70     2.909     .4796    .494    4.5518
    3     3.194   .2173E-02      .489     7.755    .98594     .100    160.86     3.325     .4167    .425    4.5671
    4     3.569   .2157E-02      .608    -7.381    .98718     .104    164.83     3.696     .3707    .375    4.5767
    5     3.904   .2130E-02      .726   -10.498    .98838     .106    168.22     4.031     .3346    .336    4.5825
    6     4.208   .2095E-02      .842   -14.423    .98952     .108    171.29     4.336     .3050    .304    4.5858
    7     4.486   .2050E-02      .956   -18.275    .99057     .109    174.20     4.616     .2801    .277    4.5873
    8     4.740   .1998E-02     1.068   -21.852    .99154     .109    177.03     4.874     .2587    .254    4.5875
    9     4.974   .1938E-02     1.176   -25.113    .99245     .109    179.82     5.115     .2403    .235    4.5868
   10     5.192   .1871E-02     1.282   -28.060    .99327     .108    182.61     5.339     .2241    .218    4.5856
   11     5.395   .1798E-02     1.385   -30.707    .99404     .107    185.43     5.549     .2101    .203    4.5839
   12     5.585   .1719E-02     1.486   -33.074    .99474     .105    188.30     5.747     .1976    .190    4.5820
   13     5.764   .1635E-02     1.584   -35.179    .99538     .103    191.20     5.933     .1866    .179    4.5800
   14     5.933   .1549E-02     1.680   -37.045    .99598     .101    194.08     6.110     .1770    .169    4.5780
   15     6.094   .1459E-02     1.773   -38.689    .99651     .099    196.94     6.279     .1684    .161    4.5762
   16     6.247   .1368E-02     1.865   -40.129    .99700     .097    199.80     6.439     .1608    .153    4.5746
   17     6.394   .1275E-02     1.955   -41.384    .99744     .095    202.67     6.593     .1540    .147    4.5731
   18     6.536   .1181E-02     2.044   -42.471    .99785     .092    205.52     6.741     .1481    .141    4.5718
   19     6.672   .1088E-02     2.131   -43.403    .99822     .090    208.34     6.884     .1428    .137    4.5708
   20     6.804   .9945E-03     2.217   -44.190    .99854     .088    211.05     7.022     .1379    .132    4.5699
   21     6.933   .9031E-03     2.302   -44.852    .99884     .086    213.60     7.156     .1338    .129    4.5694
   22     7.058   .8154E-03     2.386   -45.399    .99909     .084    215.89     7.286     .1300    .126    4.5693
   23     7.181   .7308E-03     2.470   -45.842    .99932     .082    218.05     7.413     .1267    .123    4.5695
   24     7.301   .6484E-03     2.553   -46.193    .99953     .080    220.11     7.536     .1238    .120    4.5698
   25     7.419   .5686E-03     2.636   -46.462    .99972     .078    222.01     7.658     .1211    .118    4.5703
   26     7.536   .4918E-03     2.718   -46.654    .99989     .076    223.77     7.776     .1188    .116    4.5709
   27     7.650   .4177E-03     2.800   -46.778   1.00004     .075    225.42     7.893     .1167    .114    4.5716
   28     7.762   .3460E-03     2.882   -46.838   1.00019     .073    226.99     8.008     .1149    .113    4.5723
   29     7.873   .2766E-03     2.964   -46.841   1.00032     .071    228.35     8.121     .1131    .111    4.5731
   30     7.984   .2100E-03     3.046   -46.793   1.00043     .069    229.49     8.233     .1117    .110    4.5741
   31     8.093   .1463E-03     3.129   -46.696   1.00053     .068    230.46     8.343     .1103    .109    4.5752
   32     8.201   .8488E-04     3.211   -46.557   1.00063     .066    231.31     8.452     .1091    .108    4.5764
   33     8.308   .2482E-04     3.294   -46.380   1.00071     .064    232.00     8.560     .1080    .107    4.5775
   34     8.414  -.3334E-04     3.377   -46.170   1.00078     .063    232.53     8.667     .1070    .106    4.5787
   35     8.520  -.8991E-04     3.461   -45.928   1.00085     .061    232.97     8.773     .1062    .106    4.5800
   36     8.625  -.1468E-03     3.544   -45.660   1.00092     .059    233.29     8.879     .1053    .105    4.5813
   37     8.729  -.2016E-03     3.629   -45.366   1.00098     .057    233.58     8.983     .1047    .104    4.5825
   38     8.833  -.2562E-03     3.714   -45.047   1.00103     .055    233.81     9.087     .1039    .104    4.5837
   39     8.936  -.3108E-03     3.799   -44.708   1.00108     .054    233.90     9.191     .1033    .103    4.5849
   40     9.039  -.3644E-03     3.885   -44.349   1.00112     .052    233.85     9.293     .1028    .103    4.5860
   41     9.141  -.4169E-03     3.971   -43.972   1.00116     .050    233.70     9.396     .1022    .102    4.5871
   42     9.243  -.4691E-03     4.058   -43.579   1.00119     .048    233.47     9.497     .1018    .102    4.5882
   43     9.344  -.5217E-03     4.145   -43.173   1.00122     .047    233.15     9.599     .1013    .101    4.5893
   44     9.445  -.5736E-03     4.234   -42.754   1.00125     .045    232.69     9.700     .1009    .101    4.5903
   45     9.545  -.6260E-03     4.322   -42.325   1.00127     .043    232.24     9.800     .1005    .100    4.5913
   46     9.646  -.6796E-03     4.412   -41.888   1.00129     .042    231.68     9.900     .1001    .100    4.5923
   47     9.745  -.7336E-03     4.502   -41.443   1.00131     .040    231.06    10.000     .0998    .100    4.5932
   48     9.845  -.7879E-03     4.592   -40.991   1.00133     .038    230.42    10.099     .0994    .099    4.5941
   49     9.944  -.8431E-03     4.683   -40.532   1.00134     .036    229.69    10.198     .0991    .099    4.5949
   50    10.043  -.8993E-03     4.775   -40.068   1.00135     .034    228.84    10.297     .0988    .099    4.5957
   51    10.141  -.9563E-03     4.868   -39.600   1.00136     .033    227.89    10.396     .0984    .099    4.5965
   52    10.239  -.1015E-02     4.961   -39.127   1.00137     .031    226.87    10.494     .0981    .098    4.5973
   53    10.337  -.1074E-02     5.054   -38.652   1.00137     .029    225.87    10.591     .0978    .098    4.5980
   54    10.435  -.1134E-02     5.149   -38.175   1.00138     .027    224.75    10.689     .0976    .098    4.5986
   55    10.532  -.1197E-02     5.244   -37.696   1.00138     .025    223.58    10.786     .0972    .097    4.5993
   56    10.629  -.1261E-02     5.339   -37.216   1.00139     .023    222.53    10.883     .0970    .097    4.5998
   57    10.725  -.1326E-02     5.435   -36.735   1.00139     .022    221.59    10.980     .0967    .096    4.6003
   58    10.821  -.1393E-02     5.532   -36.253   1.00139     .020    221.03    11.076     .0964    .096    4.6006
   59    10.916  -.1462E-02     5.630   -35.770   1.00140     .018    220.78    11.173     .0961    .095    4.6008
   60    11.011  -.1530E-02     5.728   -35.287   1.00140     .017    220.62    11.268     .0959    .095    4.6009
   61    11.105  -.1601E-02     5.826   -34.803   1.00139     .015    220.93    11.364     .0955    .094    4.6009
   62    11.199  -.1671E-02     5.925   -34.320   1.00138     .014    221.66    11.459     .0952    .094    4.6008
   63    11.292  -.1741E-02     6.025   -33.838   1.00138     .013    223.41    11.554     .0949    .093    4.6004
   64    11.384  -.1811E-02     6.125   -33.360   1.00136     .012    225.81    11.649     .0946    .092    4.5999
   65    11.476  -.1881E-02     6.226   -32.885   1.00135     .011    229.06    11.743     .0943    .092    4.5993
   66    11.567  -.1949E-02     6.327   -32.414   1.00133     .010    232.74    11.837     .0940    .091    4.5986
   67    11.658  -.2016E-02     6.429   -31.947   1.00131     .010    237.11    11.930     .0936    .091    4.5977
   68    11.748  -.2082E-02     6.531   -31.487   1.00129     .010    241.76    12.024     .0933    .090    4.5967
   69    11.837  -.2147E-02     6.634   -31.033   1.00126     .010    246.10    12.117     .0929    .089    4.5957
   70    11.926  -.2210E-02     6.737   -30.588   1.00124     .010    249.98    12.209     .0927    .089    4.5945
   71    12.014  -.2272E-02     6.841   -30.149   1.00121     .010    252.75    12.302     .0923    .088    4.5932
   72    12.102  -.2332E-02     6.945   -29.718   1.00118     .011    254.59    12.394     .0919    .088    4.5920
   73    12.190  -.2390E-02     7.050   -29.296   1.00116     .011    255.58    12.485     .0916    .088    4.5908
   74    12.277  -.2446E-02     7.155   -28.883   1.00112     .012    255.81    12.576     .0912    .087    4.5895
   75    12.363  -.2499E-02     7.261   -28.480   1.00109     .013    255.23    12.667     .0909    .087    4.5882
   76    12.450  -.2550E-02     7.366   -28.088   1.00106     .013    254.07    12.758     .0906    .086    4.5869
   77    12.536  -.2601E-02     7.473   -27.704   1.00104     .014    252.60    12.848     .0903    .086    4.5857
   78    12.622  -.2649E-02     7.579   -27.329   1.00101     .015    250.43    12.938     .0899    .086    4.5846
   79    12.707  -.2695E-02     7.686   -26.960   1.00099     .015    248.19    13.028     .0896    .086    4.5834
   80    12.792  -.2741E-02     7.794   -26.599   1.00097     .016    245.64    13.117     .0893    .085    4.5823
   81    12.878  -.2785E-02     7.901   -26.244   1.00096     .017    242.73    13.206     .0889    .085    4.5813
   82    12.963  -.2827E-02     8.009   -25.895   1.00094     .018    239.78    13.295     .0886    .085    4.5803
   83    13.047  -.2870E-02     8.117   -25.550   1.00093     .018    236.65    13.383     .0882    .085    4.5794
   84    13.132  -.2912E-02     8.226   -25.209   1.00091     .019    233.28    13.471     .0878    .085    4.5786
   85    13.216  -.2951E-02     8.335   -24.875   1.00089     .020    229.59    13.558     .0875    .084    4.5779
